inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
pancreatic A cell,SRR3562873,GSM2172543 1,abbfc81d-d7fc-41bc-9adf-820757044006
type B pancreatic cell,SRR3562874,GSM2172544 1,630760cd-adce-48c2-a56f-61abcab2f4fe
pancreatic A cell,SRR3562875,GSM2172545 1,d7d0f368-fcd0-4817-9f47-f9c64271f5c0
pancreatic A cell,SRR3562876,GSM2172546 1,e5efa657-0910-494f-be0c-cda789d08ce9
pancreatic A cell,SRR3562877,GSM2172547 1,a0384ec9-bdbf-4269-a9da-5d6f85d78922
pancreatic A cell,SRR3562878,GSM2172548 1,bc40c838-1fe5-4087-9e36-55a587bbc0d0
pancreatic A cell,SRR3562879,GSM2172549 1,eeb923ca-b282-47a5-93e8-e1138fa1a33b
pancreatic A cell,SRR3562880,GSM2172550 1,6e605fda-5cb9-4212-8f66-7606beda8154
pancreatic A cell,SRR3562881,GSM2172551 1,91af989c-caf3-42c7-9335-084a9e5cfff1
pancreatic A cell,SRR3562882,GSM2172552 1,2a0d46f2-6207-4c7c-b5e4-fb82235cbf35
pancreatic A cell,SRR3562883,GSM2172553 1,56710db4-bc1f-4d95-99ed-f26a4355e05e
pancreatic A cell,SRR3562884,GSM2172554 1,54a612ef-fa51-4512-98e6-987957957fec
pancreatic D cell,SRR3562885,GSM2172555 1,3af593f6-0c79-4949-acbd-9e7eb794b3cb
pancreatic A cell,SRR3562886,GSM2172556 1,7b6dce19-0c6c-4d51-afe9-71539efa4b83
pancreatic A cell,SRR3562887,GSM2172557 1,bbfd6f07-b2f9-4bc3-81c1-b6d2d304c999
type B pancreatic cell,SRR3562888,GSM2172558 1,7c198aac-a683-406c-97a1-164b16d54607
type B pancreatic cell,SRR3562889,GSM2172559 1,d6cc74e1-c1fb-4bb4-96be-bb7e2081dfd8
pancreatic A cell,SRR3562890,GSM2172560 1,baec6ecf-7f58-456e-9f70-c92ef4c6d166
pancreatic A cell,SRR3562891,GSM2172561 1,3c076ba6-3fad-42fa-90a3-ad5474151cd4
pancreatic A cell,SRR3562892,GSM2172562 1,b6982170-4db3-4b90-8f75-fffc2c1fe68c
pancreatic A cell,SRR3562893,GSM2172563 1,29733262-b09f-44bc-9e4e-b5ba1458ed27
pancreatic A cell,SRR3562894,GSM2172564 1,b0c841a0-65bd-47f6-9ae5-0d87de73fbdc
pancreatic A cell,SRR3562895,GSM2172565 1,51d584ed-c422-4aac-ae2a-dabb9b033e2f
pancreatic D cell,SRR3562896,GSM2172566 1,73042ca2-0f8c-4715-9a4f-8641d425e8f1
pancreatic A cell,SRR3562897,GSM2172567 1,6335b09d-7df7-4267-8669-5dedbc8b79fe
pancreatic D cell,SRR3562898,GSM2172568 1,216ad7b8-2165-4abd-8012-9d0f5699551c
pancreatic A cell,SRR3562899,GSM2172569 1,4b483a1c-c194-4c32-97f4-b3452adc6f43
pancreatic A cell,SRR3562900,GSM2172570 1,f0634da7-3315-423c-b302-f498a6c8e3da
pancreatic A cell,SRR3562901,GSM2172571 1,dca5d17c-2bf9-4c0f-b527-8def9a2df6f5
pancreatic A cell,SRR3562902,GSM2172572 1,efa51026-81d3-4bc4-a043-bad94b5850c0
type B pancreatic cell,SRR3562903,GSM2172573 1,15f37bab-e65f-40a0-b640-f96aa4f78c0c
pancreatic A cell,SRR3562904,GSM2172574 1,cbbf7eb3-1d4d-4770-9a94-5b9941b542c8
type B pancreatic cell,SRR3562905,GSM2172575 1,2bc9b431-bc0b-4edb-88a8-b31e72547723
pancreatic A cell,SRR3562906,GSM2172576 1,004cc6bc-c6d8-4076-9c70-235e85a4c5c9
pancreatic A cell,SRR3562907,GSM2172577 1,4a25c63a-6363-4c10-a73c-6aea26c95b1e
pancreatic A cell,SRR3562908,GSM2172578 1,3de4ee36-3569-45b2-b812-36f7b6fa6d06
pancreatic A cell,SRR3562909,GSM2172579 1,59d6f3fd-e548-4694-9c9d-3de0a5c22acd
type B pancreatic cell,SRR3562910,GSM2172580 1,a3efcea5-ab24-420d-98aa-9ccc88878a2c
pancreatic A cell,SRR3562911,GSM2172581 1,118bb672-3fce-4161-9bcb-1d12d989cf3c
type B pancreatic cell,SRR3562912,GSM2172582 1,c05295d1-c169-42d6-a118-107daca8aca9
pancreatic A cell,SRR3562913,GSM2172583 1,0379f65b-ba2a-4161-90e5-bfa17ba775ed
pancreatic A cell,SRR3562914,GSM2172584 1,d12ecaf3-5283-4849-ad1c-8cb071e0b7c4
pancreatic A cell,SRR3562915,GSM2172585 1,56e94d42-5bfa-48dd-b342-c1618b9770db
type B pancreatic cell,SRR3562916,GSM2172586 1,0e46d94d-f7b8-4551-b848-f3a1f86aa0f8
pancreatic A cell,SRR3562917,GSM2172587 1,858c0958-c6f4-47fd-bcba-703831682e75
pancreatic A cell,SRR3562918,GSM2172588 1,d28ad4ef-43ef-45db-87f3-6c5bb65fff29
pancreatic A cell,SRR3562919,GSM2172589 1,3d22b32b-2bab-47e9-9933-acf5c59225c0
pancreatic A cell,SRR3562920,GSM2172590 1,c61dc5e8-2ece-4b69-9a55-d72ef86f6bb2
pancreatic D cell,SRR3562921,GSM2172591 1,166e5f76-82ca-4747-a5d2-e0850d6dee47
pancreatic D cell,SRR3562922,GSM2172592 1,e2ef6ef5-3681-4893-b1c1-e69d8f25416d
pancreatic A cell,SRR3562923,GSM2172593 1,b32ce1ea-8ba5-4986-b2b2-b76c8b12e2d1
pancreatic A cell,SRR3562924,GSM2172594 1,fb4c0bd8-165f-4b47-8e07-054e46ed261d
pancreatic A cell,SRR3562925,GSM2172595 1,f2019015-e5a3-4c2f-a711-b7bd4e68196f
pancreatic A cell,SRR3562926,GSM2172596 1,3ea37366-d1b4-40a8-b1f3-985b91447cac
type B pancreatic cell,SRR3562927,GSM2172597 1,cb3b8624-1f81-4e78-9adb-ecbe6ece30fb
pancreatic A cell,SRR3562928,GSM2172598 1,1d806b7f-a939-4dc3-a0fa-402ba912ccd6
pancreatic A cell,SRR3562929,GSM2172599 1,093c7180-682e-4a7d-be50-8b7e6a01303e
pancreatic A cell,SRR3562930,GSM2172600 1,9e03223b-cd0f-4a88-8681-57c6aa2bef1c
type B pancreatic cell,SRR3562931,GSM2172601 1,badb3f16-d8e2-4219-9aba-5227cb6348cd
pancreatic A cell,SRR3562932,GSM2172602 1,59dba6d6-729d-478b-a873-d6ac3ef3e2b1
pancreatic A cell,SRR3562933,GSM2172603 1,39afdbba-ab2e-4ef6-be40-d8f4ffe1a204
pancreatic A cell,SRR3562934,GSM2172604 1,259412bb-e562-49e4-bef7-528a264cff5b
pancreatic A cell,SRR3562935,GSM2172605 1,f9b8485e-932d-459d-906b-ad03839cab37
pancreatic A cell,SRR3562936,GSM2172606 1,8fd1b49f-5fe4-49da-869f-585b2f5197b1
pancreatic A cell,SRR3562937,GSM2172607 1,f7ccf249-6a57-43d1-a956-caf9b41f72bc
pancreatic A cell,SRR3562938,GSM2172608 1,10dce384-284d-4285-aecc-0c0a9190b8e2
pancreatic A cell,SRR3562939,GSM2172609 1,9dd454eb-43f0-491d-be28-a712c25ca0e4
pancreatic A cell,SRR3562940,GSM2172610 1,82cbc49a-fe23-4906-a27d-77ee4e10ac70
pancreatic A cell,SRR3562941,GSM2172611 1,387b1204-849b-45a2-bcd8-d385f4124704
pancreatic A cell,SRR3562942,GSM2172612 1,295c2820-eb1a-432d-b6cb-7edc010ed68c
pancreatic A cell,SRR3562943,GSM2172613 1,650d83de-484a-4f44-8593-6e154bf1bda8
pancreatic A cell,SRR3562944,GSM2172614 1,92644e0d-04f8-4d93-9392-48a8dae3f8c0
type B pancreatic cell,SRR3562945,GSM2172615 1,7b19636b-bd86-4cd3-b13e-7c4363ee599c
type B pancreatic cell,SRR3562946,GSM2172616 1,7073c28e-fe25-46b5-8aee-6d077d27cc51
pancreatic D cell,SRR3562947,GSM2172617 1,1575fd62-1320-4e33-bd31-48018bdd5890
type B pancreatic cell,SRR3562948,GSM2172618 1,8bd964f1-f790-410a-a678-2fab7a1a76a7
type B pancreatic cell,SRR3562949,GSM2172619 1,d4784c64-f0af-418a-8801-436358e479ca
pancreatic A cell,SRR3562950,GSM2172620 1,1609f5e7-c9a2-4fff-bb36-5d904ce14ad1
pancreatic A cell,SRR3562951,GSM2172621 1,eeba62b6-9fea-4070-b625-9bcf9136f6bc
pancreatic A cell,SRR3562952,GSM2172622 1,f30db83e-9b39-4fd4-8dc8-2931c55843b5
type B pancreatic cell,SRR3562953,GSM2172623 1,a4298a0c-b5fd-417b-b8f8-5050453b4c82
type B pancreatic cell,SRR3562954,GSM2172624 1,bd100960-23f2-4a89-aca3-905a01390f9f
pancreatic A cell,SRR3562955,GSM2172625 1,e88ce787-5c4c-4c4f-87bc-9b67d475d0dd
pancreatic A cell,SRR3562956,GSM2172626 1,998b854f-8f86-4370-9ccc-e43fdd777c01
pancreatic A cell,SRR3562957,GSM2172627 1,80c50f86-8460-4e55-bb45-f310303c8945
pancreatic A cell,SRR3562958,GSM2172628 1,6a56480b-27ad-4c48-9dd1-e521bf10fbee
pancreatic A cell,SRR3562959,GSM2172629 1,e48e85be-592e-46bb-b40e-c3b46788ccb9
pancreatic A cell,SRR3562960,GSM2172630 1,da5325c2-e756-4f68-8032-26bd1bf547b0
type B pancreatic cell,SRR3562961,GSM2172631 1,d4f5f08d-4c61-4583-a226-3e37655703a8
pancreatic A cell,SRR3562962,GSM2172632 1,f5f88b39-a33a-4c8b-8797-d918427a1bbd
pancreatic A cell,SRR3562963,GSM2172633 1,280efc56-8a6c-4b3b-8585-9ca5c862238e
pancreatic A cell,SRR3562964,GSM2172634 1,edc10fd5-4eb8-4160-bccf-4d248e8b67f0
type B pancreatic cell,SRR3562965,GSM2172635 1,cea2d2c2-c936-4f52-a223-5b1542f2fd13
type B pancreatic cell,SRR3562966,GSM2172636 1,a6a2622e-ea72-454d-ac70-8f3f67924267
type B pancreatic cell,SRR3562967,GSM2172637 1,2d377a2d-c53f-4c84-a413-9e1ad257fe98
pancreatic A cell,SRR3562968,GSM2172638 1,c2db7c72-3c51-45b5-949f-b8f4fd40fdba
pancreatic A cell,SRR3562969,GSM2172639 1,0df4fc41-b648-4d19-a481-3b8e8ab8abfa
pancreatic A cell,SRR3562970,GSM2172640 1,d1b2ed06-e7a4-4a10-9b83-7d537cda456c
type B pancreatic cell,SRR3562971,GSM2172641 1,aaf16f99-7111-4ace-be07-eacc590f7826
pancreatic A cell,SRR3562972,GSM2172642 1,643e58cb-6edd-42d0-bc06-c911bd11e3a1
pancreatic A cell,SRR3562973,GSM2172643 1,7730e6c1-2b21-4cfb-b224-18f0a69f6bef
pancreatic A cell,SRR3562974,GSM2172644 1,39cc94a7-eea2-49c2-93bd-ef2a4a77f662
pancreatic A cell,SRR3562975,GSM2172645 1,34a25dd0-f71c-43b3-850c-5b03f838efdd
type B pancreatic cell,SRR3562976,GSM2172646 1,92f91a02-863d-4717-8408-ca8e16128fdd
pancreatic A cell,SRR3562977,GSM2172647 1,45366712-8d2e-4f04-9f92-84a4cc3b1c90
pancreatic A cell,SRR3562978,GSM2172648 1,ae671dcd-fe63-492a-8611-801eed4ab05d
pancreatic A cell,SRR3562979,GSM2172649 1,2b1652a7-0821-4d76-97e9-4dfefcf585a2
pancreatic A cell,SRR3562980,GSM2172650 1,0c17af76-b5ac-48cc-9152-eeaf6fd2fb59
type B pancreatic cell,SRR3562981,GSM2172651 1,f87e69fc-a359-447d-a0af-0a71cdc77d80
pancreatic A cell,SRR3562982,GSM2172652 1,f8c6d086-4689-4081-b138-1f49f27e78e9
pancreatic A cell,SRR3562983,GSM2172653 1,dc8f8350-f5c9-444e-8d6b-75af0df986f6
type B pancreatic cell,SRR3562984,GSM2172654 1,49e68863-3f59-4975-9491-55c3642f2510
pancreatic A cell,SRR3562985,GSM2172655 1,404ba4d3-1389-454d-ba79-2b355a590ca3
type B pancreatic cell,SRR3562986,GSM2172656 1,121c0f8e-cb82-4587-8f66-4d6df72d451a
pancreatic D cell,SRR3562987,GSM2172657 1,0f9185cf-151a-47d3-8df2-e9bc613d3c40
pancreatic A cell,SRR3562988,GSM2172658 1,40223525-cbad-477b-9c09-2b6517807147
pancreatic A cell,SRR3562989,GSM2172659 1,7eee7de8-5b9f-43e1-b76e-aa17992d744e
pancreatic A cell,SRR3562990,GSM2172660 1,23e7bf29-5b53-4c27-a466-04a1f8cb0628
pancreatic A cell,SRR3562991,GSM2172661 1,38b88787-0c13-44f2-8e80-98ad1c975b84
pancreatic A cell,SRR3562992,GSM2172662 1,e84f8515-1b65-430f-9208-89987984fc82
type B pancreatic cell,SRR3562993,GSM2172663 1,604df0e9-812a-43c6-920b-7fe3a8abe5e0
pancreatic A cell,SRR3562994,GSM2172664 1,3ad93692-7819-4a8e-8ffa-486b0c0f9249
type B pancreatic cell,SRR3562995,GSM2172665 1,8b37ec5a-f53e-4fca-857e-2041053f0cf3
type B pancreatic cell,SRR3562996,GSM2172666 1,b3f80857-4d73-4d74-a14d-5fd51dec78cc
pancreatic A cell,SRR3562997,GSM2172667 1,228ee97f-28fb-43e3-8084-67f81895686b
mesenchymal cell,SRR3562998,GSM2172668 1,266eae69-380d-4f8f-8c05-5beba45d86c2
acinar cell,SRR3562999,GSM2172669 1,a845b50e-5987-4369-ab2a-e2c2e1007afe
pancreatic A cell,SRR3563000,GSM2172670 1,c2c8d2f4-a2e5-422e-8857-10cde29e4fd4
pancreatic A cell,SRR3563001,GSM2172671 1,2ab49f0f-8a18-44e5-866b-d070c70a1f9b
type B pancreatic cell,SRR3563002,GSM2172672 1,7d93672e-26d2-43df-8c9c-eee2b297fca5
pancreatic A cell,SRR3563003,GSM2172673 1,20a40f72-f923-47cd-97f6-6ca2561e0ab1
pancreatic ductal cell,SRR3563004,GSM2172674 1,c0ee77c6-6771-451c-b563-71c9eb002df4
type B pancreatic cell,SRR3563005,GSM2172675 1,55344acc-35c6-4e83-90f6-1d5ccb97ae9e
type B pancreatic cell,SRR3563006,GSM2172676 1,f0cad46e-1591-4e81-9974-6ac2db263c51
type B pancreatic cell,SRR3563007,GSM2172677 1,1c31e7b9-6b84-4cdd-9fae-d7fc798f9abc
pancreatic A cell,SRR3563008,GSM2172678 1,b744a891-456d-4a55-b988-768dd7f0cef2
pancreatic A cell,SRR3563009,GSM2172679 1,594ca3e1-7143-4a5d-a8c0-5e296201c384
pancreatic ductal cell,SRR3563010,GSM2172680 1,789b04d9-6bfa-47ef-bd1f-47ed39c2e054
pancreatic A cell,SRR3563011,GSM2172681 1,0dc41d3c-f7fc-4bf4-b8fc-8ed56d1211e1
acinar cell,SRR3563012,GSM2172682 1,4bddc6a0-bf32-43b5-afdf-3df917f79f64
pancreatic A cell,SRR3563013,GSM2172683 1,f08a0a7b-9e49-4983-9287-6d0a39f2261e
pancreatic A cell,SRR3563014,GSM2172684 1,76fef6a0-6746-4d25-9e51-8ad727db1087
type B pancreatic cell,SRR3563015,GSM2172685 1,fae863c4-ebf3-4a96-bee6-a0ec5c9891f0
pancreatic A cell,SRR3563016,GSM2172686 1,75a4344a-c885-4715-b268-5d2513e97f7a
type B pancreatic cell,SRR3563017,GSM2172687 1,91a9b138-7599-42c5-ba67-36becc09bd76
pancreatic A cell,SRR3563018,GSM2172688 1,bc05a355-385b-4ef5-95b2-141551575901
mesenchymal cell,SRR3563019,GSM2172689 1,efada1e7-7da6-4400-a65b-d35d8dc3ad8c
pancreatic A cell,SRR3563020,GSM2172690 1,57e3cedd-8149-4b56-9e18-339102289e73
type B pancreatic cell,SRR3563021,GSM2172691 1,02425ecf-8633-4e49-86a8-12abaef19275
acinar cell,SRR3563022,GSM2172692 1,b0b49e72-8a0a-43a1-82f3-531cdc0829b0
acinar cell,SRR3563023,GSM2172693 1,70dacc1a-e1c1-49bf-bb4f-0857680b50db
type B pancreatic cell,SRR3563024,GSM2172694 1,9a9f3c7f-b970-458f-a9a6-325c5b795106
pancreatic A cell,SRR3563025,GSM2172695 1,b530dc06-6a3a-421d-adc8-e69a00af0379
mesenchymal cell,SRR3563026,GSM2172696 1,25adc1e5-c48e-4a9a-983d-3be87a96ed5f
acinar cell,SRR3563027,GSM2172697 1,a285c189-782a-4f31-8e75-1e820008a97a
acinar cell,SRR3563028,GSM2172698 1,479fffeb-0af3-4d24-a6f1-0ef13ceca312
pancreatic A cell,SRR3563029,GSM2172699 1,d70a8e60-ec4e-4ab6-b939-e93720fd4dc7
pancreatic A cell,SRR3563030,GSM2172700 1,bd4dc43c-7a3b-41f4-bf97-e1085c34ef7b
type B pancreatic cell,SRR3563031,GSM2172701 1,9dd4d16c-1cbb-4822-9092-c049233ee6d7
pancreatic ductal cell,SRR3563032,GSM2172702 1,6a5a2559-4fbb-4342-baf9-fedab5d2621a
pancreatic A cell,SRR3563033,GSM2172703 1,84461633-3c83-431d-87bd-bf353c09c52d
acinar cell,SRR3563034,GSM2172704 1,d8c5a225-d4d2-454a-81c0-8ad58fbd0d6e
pancreatic A cell,SRR3563035,GSM2172705 1,0ab7a001-a3c5-4805-b45b-96201f272161
pancreatic A cell,SRR3563036,GSM2172706 1,946a1b57-5e7f-4209-8f78-087b8ede2b08
pancreatic A cell,SRR3563037,GSM2172707 1,070aceeb-4e68-4927-aed0-6e07aee0ff4c
acinar cell,SRR3563038,GSM2172708 1,726f1f41-7716-4f82-8b41-c8dc732ec20d
type B pancreatic cell,SRR3563039,GSM2172709 1,93f88c7f-e52a-445c-9681-22d228f3dcc7
pancreatic A cell,SRR3563040,GSM2172710 1,19848ccf-9e7a-411c-958d-8a85df3e67a1
pancreatic A cell,SRR3563041,GSM2172711 1,24e1241f-4eed-4e90-8d41-9e8a71cb4e32
pancreatic A cell,SRR3563042,GSM2172712 1,3f4eafb8-1183-44a9-8ffa-7c78076f0b4c
type B pancreatic cell,SRR3563043,GSM2172713 1,de018489-5422-47b2-a52a-14a8c4e7b003
pancreatic A cell,SRR3563044,GSM2172714 1,4b93415c-8cd0-48f0-89bd-68f80dfb1dbd
pancreatic A cell,SRR3563045,GSM2172715 1,91b53f3c-e319-4eaf-999c-0f8459d92121
pancreatic A cell,SRR3563046,GSM2172716 1,7795c1a3-5d1c-4169-bf79-78588b7f65dc
pancreatic A cell,SRR3563047,GSM2172717 1,344e7b06-9733-482b-806e-3d61ccdd87e0
pancreatic A cell,SRR3563048,GSM2172718 1,78a928a9-90f3-4bc7-99f3-3ecef2f03564
pancreatic A cell,SRR3563049,GSM2172719 1,8a26dc32-d5f9-4519-900c-96039732d862
type B pancreatic cell,SRR3563050,GSM2172720 1,b29eeb85-53ff-4786-9101-3e241e6dc250
pancreatic ductal cell,SRR3563051,GSM2172721 1,d55b38a4-9664-49fe-8d89-c59e5df70577
type B pancreatic cell,SRR3563052,GSM2172722 1,b9637041-0a73-40a8-9f4d-01657e6864f8
acinar cell,SRR3563053,GSM2172723 1,a702394c-111d-4a2d-9fba-cbfc64496791
acinar cell,SRR3563054,GSM2172724 1,3ce54905-1684-43a9-b041-49e4053e2f04
pancreatic A cell,SRR3563055,GSM2172725 1,881fe60d-897d-404a-983b-9a5161145185
acinar cell,SRR3563056,GSM2172726 1,df1d3536-2767-4fff-82a7-7e2543a827fd
pancreatic A cell,SRR3563057,GSM2172727 1,d36e6b8d-6937-41b7-86b2-615c08dd791c
pancreatic A cell,SRR3563058,GSM2172728 1,0adbc8eb-1452-4ad6-a7cc-779ecb4c466d
pancreatic A cell,SRR3563059,GSM2172729 1,d0e7b664-d9ac-4a23-ad1f-06d27c84ce2a
type B pancreatic cell,SRR3563060,GSM2172730 1,7bf4e08e-f724-45fd-b919-16a19813616d
pancreatic A cell,SRR3563061,GSM2172731 1,6149bf12-958a-46bf-9b55-8c1bfa435d45
acinar cell,SRR3563062,GSM2172732 1,3b3168c7-80c5-482b-9c4a-c0cc8b9f79cd
pancreatic A cell,SRR3563063,GSM2172733 1,2218c693-ca94-4b47-8bdf-b475528f29c5
pancreatic A cell,SRR3563064,GSM2172734 1,1051c292-cefb-4e49-9e5e-20398258deb6
pancreatic A cell,SRR3563065,GSM2172735 1,f5cc63b6-d3f5-4ac5-846e-d8ff2df5ebf7
acinar cell,SRR3563066,GSM2172736 1,b6c73c38-28a6-453e-9d6a-bf0ed4792204
acinar cell,SRR3563067,GSM2172737 1,ea1f1a85-a4c1-4d2c-bf91-cfb707629ae7
pancreatic A cell,SRR3563068,GSM2172738 1,6afe4559-ab84-451a-b625-6429c479741c
pancreatic A cell,SRR3563069,GSM2172739 1,22789f87-158e-4043-ab75-e894d2ea9f48
pancreatic A cell,SRR3563070,GSM2172740 1,14ce8dd1-6017-499b-97e6-228a5b9025ea
pancreatic A cell,SRR3563071,GSM2172741 1,9b7ea425-6ec1-4467-b968-949f93a6b60a
pancreatic A cell,SRR3563072,GSM2172742 1,538232ce-bc04-4b6b-987d-b1d6e9f789d6
type B pancreatic cell,SRR3563073,GSM2172743 1,c879fcf4-9d6a-4e07-abbe-f8d356d1aa6d
acinar cell,SRR3563074,GSM2172744 1,44cd62a3-4d7e-4cde-9c7c-a07c1a9c8e82
acinar cell,SRR3563075,GSM2172745 1,c8844e90-ccf4-4cd6-9ea5-0f8263e6a490
pancreatic A cell,SRR3563076,GSM2172746 1,fafdd5df-f259-4b17-9e8f-6f247fe469dd
pancreatic ductal cell,SRR3563077,GSM2172747 1,41ebbd0b-1698-4b11-becf-1aece9079c9d
pancreatic A cell,SRR3563078,GSM2172748 1,e6eef177-aba7-47dc-a004-349b76f3de93
pancreatic A cell,SRR3563079,GSM2172749 1,9ba2763f-f034-402e-8ede-2fb11d4364be
pancreatic A cell,SRR3563080,GSM2172750 1,3db9c2e4-618e-4509-96bc-140a9e7ece11
pancreatic A cell,SRR3563081,GSM2172751 1,b743e853-4396-495c-9a57-212f24fa8a92
pancreatic A cell,SRR3563082,GSM2172752 1,ce779c3f-dc5d-4065-bad1-00fdffe7e494
type B pancreatic cell,SRR3563083,GSM2172753 1,0f167e40-915d-4d2f-b54e-9f698e6c50ae
type B pancreatic cell,SRR3563084,GSM2172754 1,379db2fa-2024-4668-b780-77559faf0c26
pancreatic A cell,SRR3563085,GSM2172755 1,48931824-e105-4155-92d0-2232e0036a72
type B pancreatic cell,SRR3563086,GSM2172756 1,0639be85-9006-4307-92d4-ca3cf72e8e6e
pancreatic A cell,SRR3563087,GSM2172757 1,2e07e69e-8792-434d-a990-f49d1a818070
pancreatic ductal cell,SRR3563088,GSM2172758 1,9ad408c8-5195-411a-a0e1-e72dc9f94343
pancreatic A cell,SRR3563089,GSM2172759 1,473bc6a3-cfa5-449c-96c2-b208b9f8cac6
pancreatic A cell,SRR3563090,GSM2172760 1,652bb677-845e-447a-9aae-20585e934075
pancreatic A cell,SRR3563091,GSM2172761 1,61e57101-bc9c-4d07-912d-62b11574ec30
pancreatic A cell,SRR3563092,GSM2172762 1,0459115c-b760-46e8-8ee1-55591e1a1450
acinar cell,SRR3563093,GSM2172763 1,f3a806e2-5011-4435-85ec-f3e3313b40b7
type B pancreatic cell,SRR3563094,GSM2172764 1,e79e0b8c-9467-4162-b454-e89abfc6bca6
type B pancreatic cell,SRR3563095,GSM2172765 1,728efcce-1104-4753-915a-a45b27972396
type B pancreatic cell,SRR3563096,GSM2172766 1,ddb6d518-9b08-42f7-acd4-83e254552ea6
pancreatic A cell,SRR3563097,GSM2172767 1,9cdc65f7-dd3d-43f6-8a6f-9d4b764708ef
pancreatic A cell,SRR3563098,GSM2172768 1,92c073c7-894d-48e3-9477-3eb2f751fbbd
not available,SRR3563099,GSM2172769 1,bfd2073a-9d66-4d7c-ac17-c3d9c86ab11c
type B pancreatic cell,SRR3563100,GSM2172770 1,24efb436-afe9-4da9-96d0-0f3a51bc2f06
pancreatic A cell,SRR3563101,GSM2172771 1,1f95c671-50a0-44b3-9462-7b9a321726e2
type B pancreatic cell,SRR3563102,GSM2172772 1,69ef540e-3c2c-43f6-b643-8dda0bcfcf2a
pancreatic A cell,SRR3563103,GSM2172773 1,1ea3edd9-e58d-4c05-9bcc-790b56ecc31b
pancreatic D cell,SRR3563104,GSM2172774 1,a4bc2c1c-1282-4713-a69f-b70c4ca8f50c
type B pancreatic cell,SRR3563105,GSM2172775 1,ebbc5bf1-8279-416e-af7b-edc75608afa1
type B pancreatic cell,SRR3563106,GSM2172776 1,31e76d03-36c3-43b8-81d8-a849d5cfb551
type B pancreatic cell,SRR3563107,GSM2172777 1,21b8bde4-47e9-4b89-a9a6-8113de978013
not available,SRR3563108,GSM2172778 1,b810d295-b823-47e2-87f5-044adc813b56
not available,SRR3563109,GSM2172779 1,a61c3fb3-6b52-49d7-91f3-73a57bfca14a
pancreatic A cell,SRR3563110,GSM2172780 1,d19f450d-35d9-4f88-8c1e-144d8d0f5382
pancreatic D cell,SRR3563111,GSM2172781 1,77dbcc5f-375c-4318-bf23-62cf7c6ed193
type B pancreatic cell,SRR3563112,GSM2172782 1,4bf2368a-7ecf-4ec0-ba02-7e9120e9c720
type B pancreatic cell,SRR3563113,GSM2172783 1,97dd74d6-cdce-46e5-a2ce-394ac19aea52
acinar cell,SRR3563114,GSM2172784 1,d7666072-4654-45e6-a9b4-818fe6e49391
pancreatic D cell,SRR3563115,GSM2172785 1,880b0c7f-5174-42ed-9847-1be19f60d3a7
type B pancreatic cell,SRR3563116,GSM2172786 1,6e8cb00c-6124-43c1-8efb-a885d80cb7f9
pancreatic A cell,SRR3563117,GSM2172787 1,7881a5e6-7099-49ad-ae6f-f2581735b1e4
pancreatic A cell,SRR3563118,GSM2172788 1,7405a529-5a0e-47e5-b8c6-2b6198b06720
pancreatic A cell,SRR3563119,GSM2172789 1,09f50522-a2ea-412e-b6ff-942154ffc674
not available,SRR3563120,GSM2172790 1,b522b69e-64c1-4862-aee7-8a96869e271b
pancreatic A cell,SRR3563121,GSM2172791 1,38e2cda0-5984-42c8-b782-9b0e5033bab3
type B pancreatic cell,SRR3563122,GSM2172792 1,088bb0b4-48a2-4608-a355-d993681b0740
type B pancreatic cell,SRR3563123,GSM2172793 1,27b2ea9f-2aa8-4759-9cba-0633b20201ea
acinar cell,SRR3563124,GSM2172794 1,08acdc8e-9a2a-4b41-9428-f936207e3725
pancreatic A cell,SRR3563125,GSM2172795 1,6cf35e86-cd08-493c-bb12-75339a8c7bfa
type B pancreatic cell,SRR3563126,GSM2172796 1,1a57d0f2-9183-49eb-926c-4d6c0a6b948a
type B pancreatic cell,SRR3563127,GSM2172797 1,1da986ad-0b91-43d2-b58b-abb9c9d27d6e
type B pancreatic cell,SRR3563128,GSM2172798 1,b0bd3664-54ad-4ed4-90cd-e7de4857b4f0
pancreatic A cell,SRR3563129,GSM2172799 1,ecbbc4a7-014b-4515-90f0-0eca1e1d332a
pancreatic A cell,SRR3563130,GSM2172800 1,7e181984-f42b-4f3b-aca6-1ff664e56d61
not available,SRR3563131,GSM2172801 1,56c0ef38-c90f-4fc6-892f-1b4a59e79583
acinar cell,SRR3563132,GSM2172802 1,223243e4-c17f-47ca-bfdf-2ec6b33be78f
type B pancreatic cell,SRR3563133,GSM2172803 1,755ea271-c91b-468c-8c1e-0b4a67c57cd7
pancreatic A cell,SRR3563134,GSM2172804 1,a609ea8b-1f42-4507-8ce5-31b64dddc4ff
pancreatic A cell,SRR3563135,GSM2172805 1,7508a89c-fe75-463a-913b-570c19fbe270
pancreatic A cell,SRR3563136,GSM2172806 1,5c767bea-3c14-4aa7-8d06-50102eff2a16
type B pancreatic cell,SRR3563137,GSM2172807 1,61ee6f9e-da31-4fca-9897-63f99a967705
pancreatic D cell,SRR3563138,GSM2172808 1,9ee8e225-8acc-44ae-8764-851a5b1a07b2
type B pancreatic cell,SRR3563139,GSM2172809 1,08284252-23e3-44be-8d98-18c816077941
